641,by,drop
642,drop,from
643,from,the
644,the,teachings
645,teachings,of
646,of,the
647,the,old
648,old,brahmans.
649,brahmans.,siddhartha
650,siddhartha,had
651,had,started
652,started,to
653,to,nurse
654,nurse,discontent
655,discontent,in
656,in,himself
657,himself,he
658,he,had
659,had,started
660,started,to
661,to,feel
662,feel,that
663,that,the
664,the,love
665,love,of
666,of,his
667,his,father
668,father,and
669,and,the
670,the,love
671,love,of
672,of,his
673,his,mother
674,mother,and
675,and,also
676,also,the
677,the,love
678,love,of
679,of,his
680,his,friend
681,friend,govinda
682,govinda,would
683,would,not
684,not,bring
685,bring,him
686,him,joy
687,joy,for
688,for,ever
689,ever,and
690,and,ever
691,ever,would
692,would,not
693,not,nurse
694,nurse,him
695,him,feed
696,feed,him
697,him,satisfy
698,satisfy,him.
699,him.,he
700,he,had
701,had,started
702,started,to
703,to,suspect
704,suspect,that
705,that,his
706,his,venerable
707,venerable,father
708,father,and
709,and,his
710,his,other
711,other,teachers
712,teachers,that
713,that,the
714,the,wise
715,wise,brahmans
716,brahmans,had
717,had,already
718,already,revealed
719,revealed,to
720,to,him
721,him,the
722,the,most
723,most,and
724,and,best
725,best,of
726,of,their
727,their,wisdom
728,wisdom,that
729,that,they
730,they,had
731,had,already
732,already,filled
733,filled,his
734,his,expecting
735,expecting,vessel
736,vessel,with
737,with,their
738,their,richness
739,richness,and
740,and,the
741,the,vessel
742,vessel,was
743,was,not
744,not,full
745,full,the
746,the,spirit
747,spirit,was
748,was,not
749,not,content
750,content,the
751,the,soul
752,soul,was
753,was,not
754,not,calm
755,calm,the
756,the,heart
757,heart,was
758,was,not
759,not,satisfied.
760,satisfied.,the
761,the,ablutions
762,ablutions,were
763,were,good
764,good,but
765,but,they
766,they,were
767,were,water
768,water,they
769,they,did
770,did,not
771,not,wash
772,wash,off
773,off,the
774,the,sin
775,sin,they
776,they,did
777,did,not
778,not,heal
779,heal,the
780,the,spirit
781,spirit,&apos;s
782,&apos;s,thirst
783,thirst,they
784,they,did
785,did,not
786,not,relieve
787,relieve,the
788,the,fear
789,fear,in
790,in,his
791,his,heart.
792,heart.,the
793,the,sacrifices
794,sacrifices,and
795,and,the
796,the,invocation
797,invocation,of
798,of,the
799,the,gods
800,gods,were
801,were,excellent--but
802,excellent--but,was
803,was,that
804,that,all
805,all,did
806,did,the
807,the,sacrifices
808,sacrifices,give
809,give,a
810,a,happy
811,happy,fortune
812,fortune,and
813,and,what
814,what,about
815,about,the
816,the,gods
817,gods,was
818,was,it
819,it,really
820,really,prajapati
821,prajapati,who
822,who,had
823,had,created
824,created,the
825,the,world
826,world,was
827,was,it
828,it,not
829,not,the
830,the,atman
831,atman,he
832,he,the
833,the,only
834,only,one
835,one,the
836,the,singular
837,singular,one
838,one,were
839,were,the
840,the,gods
841,gods,not
842,not,creations
843,creations,created
844,created,like
845,like,me
846,me,and
847,and,you
848,you,subject
849,subject,to
850,to,time
851,time,mortal
852,mortal,was
853,was,it
854,it,therefore
855,therefore,good
856,good,was
857,was,it
858,it,right
859,right,was
860,was,it
861,it,meaningful
862,meaningful,and
863,and,the
864,the,highest
865,highest,occupation
866,occupation,to
867,to,make
868,make,offerings
869,offerings,to
870,to,the
871,the,gods
872,gods,for
873,for,whom
874,whom,else
875,else,were
876,were,offerings
877,offerings,to
878,to,be
879,be,made
880,made,who
881,who,else
882,else,was
883,was,to
884,to,be
885,be,worshipped
886,worshipped,but
887,but,him
888,him,the
889,the,only
890,only,one
891,one,the
892,the,atman
893,atman,and
894,and,where
895,where,was
896,was,atman
897,atman,to
898,to,be
899,be,found
900,found,where
901,where,did
902,did,he
903,he,reside
904,reside,where
905,where,did
906,did,his
907,his,eternal
908,eternal,heart
909,heart,beat
910,beat,where
